Tree,Branch,Trial,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,measured diameter,W1 Diameter,W2 Diameter,Mean Diameter,Median Diameter,Contact,Distance from Tree,Time (s),Angle Correction,Angle Correction Direction,Notes
1,1,1,-0.9339191317558289,-2.5958854160704554,-0.1549161116229456,0.3647700983234863,0.7110028862953186,1.4347221851348877,0.5,0.5284420847892761,0.5184714794158936,0.5463891625404358,0.5384126901626587,center,9.0,49.09,0.0,CW,No Correction Allowed
1,1,2,-0.9379178881645203,-2.5930520496764125,-0.1565926710711878,0.36538080751385493,0.7123188376426697,1.482696294784546,0.5,0.5775052309036255,0.5277203321456909,0.5336945056915283,0.5277203321456909,center,9.0,51.39,0.0,CW,No Correction Allowed
1,1,3,-0.9342900514602661,-2.5954424343504847,-0.15526038805116826,0.36438672124829097,0.7117637395858765,1.4383960962295532,0.5,0.5183096528053284,0.47843965888023376,0.522296667098999,0.5282771587371826,center,9.0,51.29,0.0,CW,No Correction Allowed
1,1,4,-0.9336237907409668,-2.592123647729391,-0.15462762514223272,0.3643473821827392,0.7094082832336426,1.540619134902954,0.5,0.48662930727005005,0.476698100566864,1.116197109222412,0.7647032141685486,center,9.0,51.29,0.08726650000000001,CW,Correction Allowed
1,1,5,-0.9301596879959106,-2.596466680566305,-0.1566851774798792,0.36246757089581294,0.7123870849609375,1.5826570987701416,0.5,0.580803394317627,0.5307341814041138,0.5607756972312927,0.5707895755767822,center,9.0,54.39,0.08726650000000001,CW,Correction Allowed
1,1,6,-0.9362308979034424,-2.594515462914938,-0.15406400362123662,0.3646187025257568,0.7093587517738342,1.4867312908172607,0.5,0.5231496095657349,0.5072965621948242,0.5271128416061401,0.5191863179206848,center,7.0,43.49,0.0,CW,No Correction Allowed
1,1,7,-0.9368681907653809,-2.5941673717894496,-0.15303212801088506,0.3653098779865722,0.7098749279975891,1.4823896884918213,0.5,0.5630671381950378,0.5154839754104614,0.5585353970527649,0.5630671381950378,center,7.0,44.09,0.0,CW,No Correction Allowed
1,1,8,-0.9195583462715149,-2.604283948937887,-0.15228826204408819,0.35628192007031245,0.7093551754951477,1.4677603244781494,0.5,0.5768691897392273,0.5368087887763977,0.8774960041046143,0.7451226711273193,left,7.0,42.89,0.0,CW,No Correction Allowed
1,1,9,-0.9285784959793091,-2.598222394982809,-0.15481263795961553,0.3611246782490234,0.7121195197105408,1.6180542707443237,0.5,0.5206694602966309,0.5126591920852661,0.5854800939559937,0.5527106523513794,center,7.0,49.89,0.17453300000000002,CW,Correction Allowed
1,1,10,-0.9335595965385437,-2.596138139764303,-0.1548078695880335,0.36363856374707026,0.7114111185073853,1.5463619232177734,0.5,0.5581690669059753,0.5581690669059753,0.5541821122169495,0.5541821122169495,center,7.0,46.52,0.08726650000000001,CW,Corrrection Allowed: One Fail Because of Video no data points
1,1,11,-0.9916242361068726,-2.5661264858641566,-0.1541360060321253,0.39255277692761226,0.7102031111717224,1.5187472105026245,0.75,0.7988035678863525,0.790815532207489,0.6849740743637085,0.7948095798492432,right,7.0,42.22,0.0,CW,No Correction Allowed
1,1,12,-0.9847607612609863,-2.569334646264547,-0.15488034883608037,0.38908736288037105,0.7109309434890747,1.501490592956543,0.75,0.8348008394241333,0.8187469840049744,1.2673108577728271,1.3404974937438965,right,7.0,42.22,0.0,CW,No Correction Allowed
1,1,13,-0.9840188026428223,-2.5707227192320765,-0.1551764647113245,0.38929180681195064,0.7120829820632935,1.5265419483184814,0.75,0.8225313425064087,0.8225313425064087,0.7132636904716492,0.8104352951049805,right,7.0,41.12,0.0,CW,No Correction Allowed
1,1,14,-0.9864633679389954,-2.568198343316549,-0.1551435629474085,0.3904345470615844,0.7110707759857178,1.521154522895813,0.75,0.7775927186012268,0.7695763111114502,0.8016419410705566,0.809658408164978,right,7.0,51.02,0.0,CW,Correction allowed
1,1,15,-0.9846082925796509,-2.5690466366209925,-0.15442401567567998,0.38844840108837886,0.710810661315918,1.6089874505996704,0.75,0.8180932402610779,0.8180932402610779,0.83146071434021,0.8341342806816101,center,7.0,49.62,0.08726650000000001,CW,Correction Allowed
1,1,16,-0.983423113822937,-2.5709148846068324,-0.15495616594423467,0.38869599878277583,0.711195170879364,1.4863115549087524,0.75,0.8082003593444824,0.7374828457832336,0.7677903771400452,0.7576878666877747,right,9.0,48.72,0.0,CW,No Correction Allowed
1,1,17,-0.9842333793640137,-2.5705143413939417,-0.15493995348085576,0.3890358644672851,0.7126030921936035,1.5356240272521973,0.75,0.7395556569099426,0.7395556569099426,0.7679222226142883,0.7496865391731262,center,9.0,51.32,0.0,CW,No Correction Allowed
1,1,18,-0.9771228432655334,-2.572695394555563,-0.15486509004701787,0.3854110675999145,0.711703896522522,1.4994213581085205,0.75,0.7912354469299316,0.7709473371505737,0.7785553932189941,0.7810913920402527,center,9.0,47.92,0.0,CW,No Correction Allowed
1,1,19,-0.982090950012207,-2.5699740848936976,-0.15931398073305303,0.38743702947583003,0.7148159742355347,1.570221185684204,0.75,0.7939050197601318,0.7531919479370117,0.7816911339759827,0.7735484838485718,right,9.0,52.12,0.08726650000000001,CW,Correction Allowed
1,1,20,-0.9577741622924805,-2.582134862939352,-0.1668308416949671,0.3759390550800781,0.7225914597511292,1.5241223573684692,0.75,0.8170471787452698,0.7960972785949707,0.7200158834457397,0.7646723389625549,right,9.0,53.22,0.0,CW,"Correction Allowed, Far right almost didn't hit branch"
1,3,1,-0.999983012676239,-2.5598155460753382,-0.1475308577166956,0.3961643415638427,0.7028754353523254,1.4718996286392212,1.00,1.0426291227340698,0.9812979698181152,0.9634097218513489,1.0272963047027588,right,9.0,48.22,0.0,CW,No Correction Allowed
1,3,2,-0.9914761185646057,-2.56559481243276,-0.14882308641542608,0.3916901785084228,0.7053077220916748,1.4340094327926636,1.00,1.0747150182724,1.0023784637451172,0.9029156565666199,0.9765439629554749,center,9.0,49.32,0.0,CW,No Correction Allowed
1,3,3,-0.9786273241043091,-2.571657796899313,-0.1496828238116663,0.3854629236408691,0.707295298576355,1.4519122838974,1.00,1.0638796091079712,1.001298427581787,1.0263309478759766,1.0221588611602783,center,9.0,49.12,0.0,CW,No Correction Allowed
